wallet_address,contract_address,target_address,contract_method,risk_level
0xaBA7161A7fb69c88e16ED9f455CE62B791EE4D03,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0x46EFbAedc92067E6d60E84ED6395099723252496,__transfer,18717
0x0000000000000000000000000000000000000000,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0xaBA7161A7fb69c88e16ED9f455CE62B791EE4D03,__transfer,2
0x0000000000000000000000000000000000000000,0xda60730e1feaa7d8321f62ffb069edd869e57d02,0x7041881dC7E76b69c26006AFbA8D2121aEe1a0bA,__transfer,75
0xaBA7161A7fb69c88e16ED9f455CE62B791EE4D03,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0xc5c7b46843014B1591e9aF24de797156cde67f08,__transfer,2
0x0000000000000000000000000000000000000000,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0xaBA7161A7fb69c88e16ED9f455CE62B791EE4D03,__transfer,2
0x0000000000000000000000000000000000000000,0xda60730e1feaa7d8321f62ffb069edd869e57d02,0x82be59C8B195d85D263051102069C22380d1fa2e,__transfer,88
0xaBA7161A7fb69c88e16ED9f455CE62B791EE4D03,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0x03546b22bC80b3e6b64c4445963D981250267a68,__transfer,2
0x0000000000000000000000000000000000000000,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0xaBA7161A7fb69c88e16ED9f455CE62B791EE4D03,__transfer,2
0xE895a2DA1d45d4F1B195482E20c526facdD00637,0xda60730e1feaa7d8321f62ffb069edd869e57d02,0x23357B0F8CB6F06f98f25D50499C62Dd5e22286A,__transfer,84
0x9a9C09178F2647883A8EecF885a396A8cB48866c,0xda60730e1feaa7d8321f62ffb069edd869e57d02,0xE895a2DA1d45d4F1B195482E20c526facdD00637,__transfer,301
0xB3Cc8d3510F16BcAa7F3fa7241Fef86A3e890C97,0xda60730e1feaa7d8321f62ffb069edd869e57d02,0x9a9C09178F2647883A8EecF885a396A8cB48866c,__transfer,391
0x0000000000000000000000000000000000000000,0xda60730e1feaa7d8321f62ffb069edd869e57d02,0xB3Cc8d3510F16BcAa7F3fa7241Fef86A3e890C97,__transfer,1
0xaBA7161A7fb69c88e16ED9f455CE62B791EE4D03,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0x33569c101562e1fAF5b24581057E5cEE4c8288D7,__transfer,2
0x0000000000000000000000000000000000000000,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0xaBA7161A7fb69c88e16ED9f455CE62B791EE4D03,__transfer,2
